Category,Token / Element,Value,Notes / Usage
FONT FAMILY,Primary Serif,"Cormorant Garamond, Georgia, serif",Editorial display — hero titles, h2/h3, product names, prices, italic accents
FONT FAMILY,Primary Sans-Serif,"Montserrat, sans-serif",Structural — logo, navigation, eyebrows, buttons, body utility text
FONT FAMILY,Source,Google Fonts,Loaded via fonts.googleapis.com in <head> of every page
FONT WEIGHTS,Cormorant Garamond,"400, 500, 600, 700 (+ italic 400, 500)",
FONT WEIGHTS,Montserrat,"300, 400, 500, 600, 700",
,,,
COLOR,Black (deep),#0d0d0d,Default page background on most pages — footer base
COLOR,Black (slightly lighter),#0a0a0a,Footer base on bespoke gallery
COLOR,Black (card / strip),#141414,Service strip background; original card background (now white)
COLOR,Black (header text),#111,Header logo / contact / icons / hamburger lines on white header
COLOR,Charcoal,#1a1a1a,Card / surface base; product card name color on white grid
COLOR,Mid gray text,#333,Quote text on cream sections
COLOR,Light gray text,#888,Secondary text — captions
COLOR,Pale gray text,#999,Placeholder labels — "Product Image" on PDP slots
COLOR,Subtle gray,#bbb,Image-placeholder caption text
COLOR,Light tone gray,#ccc,Body text on dark backgrounds
COLOR,Cream / off-white,#faf7f2,Optional warm background per style guide
COLOR,Cream variant,#f5f3f0,Quote section background
COLOR,Pure white,#ffffff,Header background sitewide; product cards; image slots
COLOR,Border light,#ececec,1px hairline border on product cards
COLOR,Brand gold (primary),#c5a258,Eyebrows / link accents / atelier-step numbers / italic accents
COLOR,Brand gold (deeper),#8a6d2f,"""View More"" label color on white card grid (darker for legibility)"
COLOR,Gold variant,#d4af37,"Atelier section step number, gold-variant CTA"
COLOR,Border on dark,"rgba(255,255,255,0.06)",Subtle dividers on dark backgrounds
COLOR,Border on white,"rgba(0,0,0,0.08)",Soft hairline divider on white surfaces (header bottom border)
,,,
GRADIENT,Card top fade (grid),"linear-gradient to bottom, rgba(0,0,0,0.10) → 0",Top 32% of each .lv-card-img — subtle frame
GRADIENT,Card bottom fade (grid),"linear-gradient to top, rgba(0,0,0,0.16) → 0",Bottom 45% of each .lv-card-img — subtle frame + text legibility
GRADIENT,PDP slot top fade,"linear-gradient to bottom, rgba(0,0,0,0.22) → 0",Top 32% of each .pdp-image-slot — sharper than grid
GRADIENT,PDP slot bottom fade,REMOVED,Bottom gradient deliberately removed; clean white below
GRADIENT,Image placeholder fill,"linear-gradient 135deg, #1a1a1a → #141414",Default for empty .image-placeholder (overridden to white on PDP)
,,,
TYPE SCALE,Logo,26px desktop / 20px mobile,Montserrat 700 uppercase — letter-spacing 6px desktop / 4px mobile
TYPE SCALE,Hero h1 / display,"clamp(48px, 5.5vw, 72px)",Cormorant Garamond 700
TYPE SCALE,Section h2,"clamp(2rem, 4vw, 3rem)",Cormorant Garamond 300/400
TYPE SCALE,Section eyebrow,11–12px uppercase,Montserrat 400/600 — letter-spacing 2–3px gold
TYPE SCALE,Body default,16px (1rem),Cormorant Garamond on default body — line-height 1.6
TYPE SCALE,Card title (grid),10px uppercase,Montserrat 500 — letter-spacing 1px — color #1a1a1a
TYPE SCALE,Card price (grid),10px uppercase,Montserrat 600 — letter-spacing 1.5px — color #8a6d2f
